Year,Total4seam,Average4seam,TotalChange,AverageChange,TotalSlide,AverageSlide,TotalCurve,AverageCurve
2008,305,91.6,269,83.2,255,83.2,214,76.3
2009,337,91.7,297,83.3,277,83.4,240,76.5
2010,313,91.9,271,83.6,266,83.9,233,76.7
2011,318,92.0,279,83.9,270,83.9,223,76.9
2012,319,92.1,284,84.0,260,83.9,243,77.0
2013,316,92.4,288,84.2,246,84.2,244,77.4
2014,321,92.5,286,84.4,240,84.3,248,77.6
2015,312,92.8,283,84.7,237,84.8,254,78.1
2016,325,93.0,296,85.1,245,85.1,249,78.2
2017,355,93.0,299,85.0,267,84.5,258,78.2
2018,334,93.0,293,85.2,248,84.4,249,78.5
2019,339,93.3,292,85.5,254,84.7,251,78.6
2020,354,93.2,289,85.4,252,84.4,250,78.5
2021,340,93.7,273,85.8,270,84.8,237,78.8
2022,346,93.8,284,86.0,263,85.1,223,79.1
2023,352,94.0,280,86.1,268,85.3,215,79.1
2024,346,94.2,251,86.2,270,85.6,209,79.6
2025,326,94.5,252,86.7,252,86.1,196,79.7
